"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore","DraftBin","ExpectedScore","Count","FinalScore"
"104",51,"ATL","Chris Crawford",7,252,0.437,0.347,0.824,15.8,6.6,2.2,0.6,6.5,0.078,"-2.6",-0.6,1544,0.401,0.317,0.921,574,0.439024390243902,"F",2.07096813091866,"31-60",1.87640746106345,4,0.194560669855209
"105",55,"SEA","Mark Blount",9,605,0.504,0.359,0.723,23.1,8.2,4.6,0.8,18.8,0.065,"-2.7",-2.5,1548,0.54,0.84,1.542,738,0.819783197831978,"C",2.01860342058148,"31-60",2.05344127678194,6,-0.0348378562004594
"106",1,"LAC","Michael Olowokandi",9,500,0.435,0,0.597,26.3,8.3,6.8,0.7,2.5,0.009,"-4.6",-8.5,1709,0.452,1.394,1.796,738,0.677506775067751,"C",2.20825097974202,"1-15",5.40227744981826,21,-3.19402647007624
"107",2,"VAN","Mike Bibby",14,1001,0.436,0.379,0.802,33.9,14.7,3.1,5.5,73.2,0.104,"0.8",23.8,1710,1.171,0.149,2.132,1148,0.871951219512195,"G",6.09482381129868,"1-15",4.31202007317063,20,1.78280373812806
"108",3,"DEN","Raef LaFrentz",10,563,0.466,0.363,0.711,25.8,10.1,6.1,1.1,39.4,0.13,"0.7",9.8,1711,0.49,1.632,0.908,820,0.686585365853659,"C",2.7675718303078,"1-15",5.18058806678938,21,-2.41301623648157
"109",4,"TOR","Antawn Jamison",16,1083,0.451,0.346,0.724,34.8,18.5,7.5,1.6,87.8,0.112,"0.6",24.5,1712,0.968,0.389,1.583,1312,0.825457317073171,"F",5.8540781668291,"1-15",4.84432781908783,21,1.00975034774127
"110",5,"GSW","Vince Carter",22,1541,0.435,0.371,0.798,30.1,16.7,4.3,3.1,125.3,0.13,"3",57.9,1713,0.993,0.576,1.681,1804,0.854212860310421,"G",6.34105481372666,"1-15",4.12639751013355,21,2.2146573035931
"111",6,"DAL","Robert Traylor",7,438,0.474,0.167,0.577,14.3,4.8,3.7,0.7,13.3,0.102,"-1.6",0.7,1714,0.639,0.699,0.913,574,0.763066202090592,"F",1.71506857021536,"1-15",3.75387095989043,21,-2.03880238967507
"112",7,"SAC","Jason Williams",12,788,0.398,0.327,0.813,29.4,10.5,2.3,5.9,38.5,0.08,"0.2",12.9,1715,1.184,0.076,2.085,984,0.800813008130081,"G",4.81962783089495,"1-15",4.39397812840409,21,0.493571347914868
"113",8,"PHI","Larry Hughes",13,727,0.406,0.309,0.757,30.8,14.1,4.2,3.1,32.3,0.069,"-0.1",10.7,1716,1.502,0.351,2.138,1066,0.681988742964353,"G",5.50545142377347,"1-15",3.46277602238357,20,2.0426754013899
"114",9,"MIL","Dirk Nowitzki",21,1522,0.471,0.38,0.879,33.8,20.7,7.5,2.4,206.3,0.193,"4.5",84.8,1717,0.795,0.842,1.639,1722,0.883855981416957,"F",6.81629223738225,"1-15",4.12142597603224,20,2.69486626135001
"115",10,"BOS","Paul Pierce",19,1343,0.445,0.368,0.806,34.2,19.7,5.6,3.5,150,0.157,"3.7",65.5,1718,1.305,0.555,2.63,1558,0.862002567394095,"F",6.68949425841391,"1-15",3.85756897884724,21,2.83192527956667
"116",11,"DET","Bonzi Wells",10,591,0.46,0.327,0.697,25.6,12.1,4.6,2.1,29.4,0.093,"0.2",8.3,1719,1.301,0.325,2.056,820,0.720731707317073,"G",4.70172748765076,"1-15",2.79711748836319,20,1.90460999928756
"117",12,"ORL","Michael Doleac",10,587,0.439,0.125,0.791,15,4.9,3.3,0.6,12.7,0.07,"-3.7",-3.7,1720,0.341,0.356,0.641,820,0.715853658536585,"C",1.35146421815705,"1-15",2.48895296394094,19,-1.1374887457839
"118",13,"ORL","Keon Clark",6,353,0.5,0.053,0.645,22.6,8.2,5.9,0.9,18.2,0.11,"-0.7",2.6,1721,0.521,1.618,1.331,492,0.717479674796748,"C",2.27990662109995,"1-15",3.716678058383,21,-1.43677143728305
"119",14,"HOU","Michael Dickerson",5,212,0.432,0.402,0.784,35.3,15.4,2.9,2.6,9.6,0.061,"-1.3",1.3,1722,1.005,0.401,1.92,410,0.517073170731707,"G",5.59654081785498,"1-15",3.25489603167226,21,2.34164478618271
"120",15,"ORL","Matt Harpring",11,665,0.481,0.333,0.753,26.4,11.5,5.1,1.4,41.9,0.114,"-0.6",6.2,1723,0.747,0.168,1.504,902,0.737250554323725,"F",3.72750638023186,"1-15",3.12037900468881,20,0.607127375543045
"121",16,"HOU","Bryce Drew",6,243,0.382,0.371,0.83,16.3,4.4,1.2,2.2,2.4,0.03,"-3.1",-1.1,1724,0.506,0.041,0.86,492,0.49390243902439,"G",2.00889207629937,"16-30",3.05187191900081,18,-1.04297984270145
"122",17,"MIN","Rasho Nesterovic",12,811,0.502,0.077,0.585,22.2,6.8,5.1,1,39.9,0.107,"-0.9",5,1725,0.407,1.152,0.922,984,0.824186991869919,"C",2.02801054576905,"16-30",2.90041503188993,21,-0.872404486120886
"123",19,"MIL","Pat Garrity",10,552,0.417,0.398,0.806,20,7.3,2.6,0.8,18.7,0.081,"-1.8",0.5,1727,0.446,0.188,0.755,820,0.673170731707317,"F",2.36199017776361,"16-30",2.72321618088366,19,-0.361226003120052
"124",20,"ATL","Roshown McLeod",3,113,0.409,0.111,0.819,18.8,7.2,2.7,1.1,0.2,0.004,"-4.4",-1.3,1728,0.363,0.124,1.239,246,0.459349593495935,"F",2.35877106065844,"16-30",2.66942577373078,19,-0.31065471307234
"125",21,"CHH","Ricky Davis",12,736,0.446,0.361,0.781,29.8,13.5,3.5,3.3,28,0.061,"-0.8",6.3,1729,0.995,0.254,2.182,984,0.747967479674797,"F",4.83552134089112,"16-30",3.55641440446149,15,1.27910693642963
"126",22,"LAC","Brian Skinner",14,608,0.494,0.333,0.566,17.9,4.7,4.7,0.5,15.8,0.07,"-2.5",-1.5,1730,0.421,0.875,0.854,1148,0.529616724738676,"F",1.68354433185808,"16-30",2.46886810084039,17,-0.78532376898231
