"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore"
"388",16,"TOR","Joey Graham",6,377,0.483,0.3,0.815,16.2,5.9,2.8,0.5,7.8,0.061,"-3.6",-2.4,101121,0.355,0.114,0.82,492,0.766260162601626,"F",1.72748147288152
"389",17,"IND","Danny Granger",10,586,0.434,0.38,0.848,31.5,16.8,4.9,1.9,48.5,0.126,"1.8",17.7,101122,0.957,0.821,1.874,820,0.714634146341463,"F",5.08852302990672
"390",18,"BOS","Gerald Green",12,658,0.417,0.361,0.818,19.8,9.7,2.5,0.9,18.4,0.068,"-1.3",2.4,101123,0.509,0.302,1.096,984,0.66869918699187,"G",4.21326861066518
"391",19,"MEM","Hakim Warrick",8,526,0.49,0.191,0.726,20.2,9.4,4,0.8,20.4,0.092,"-1.9",0.4,101124,0.414,0.293,1.186,656,0.801829268292683,"F",2.77300909538729
"392",21,"PHO","Nate Robinson",11,618,0.423,0.36,0.796,22.5,11,2.3,3,27.8,0.096,"0.5",8.6,101126,0.879,0.068,1.417,902,0.685144124168514,"G",5.04256888361563
"393",22,"DEN","Jarrett Jack",13,867,0.44,0.343,0.855,27.8,10.8,2.9,4.6,36.8,0.073,"-0.9",6.5,101127,0.788,0.123,1.987,1066,0.813320825515947,"G",5.37407750844954
"394",23,"SAC","Francisco Garcia",10,549,0.427,0.357,0.799,21.6,7.9,2.6,1.4,18.2,0.074,"-0.1",5.7,101128,0.803,0.707,0.993,820,0.669512195121951,"G",3.73296379163773
"395",24,"HOU","Luther Head",6,348,0.423,0.388,0.773,22.4,8.2,2.4,2.1,14.7,0.09,"0.1",4.2,101129,0.73,0.124,1.256,492,0.707317073170732,"G",3.86929670273386
"396",25,"SEA","Johan Petro",8,473,0.462,0.154,0.678,15.4,4.7,3.9,0.5,5.5,0.037,"-4.6",-4.6,101130,0.408,0.495,0.791,656,0.721036585365854,"C",1.32201098952029
"397",26,"DET","Jason Maxiell",10,618,0.495,0,0.564,18.4,5.6,4.2,0.4,20.3,0.086,"-2.5",-1.4,101131,0.372,0.793,0.788,820,0.753658536585366,"F",1.78591079076588
"398",27,"POR","Linas Kleiza",7,409,0.435,0.335,0.763,20,8.7,3.6,0.8,13.6,0.08,"-2.3",-0.7,101132,0.389,0.178,1,574,0.712543554006969,"F",2.5782105432014
"399",28,"SAS","Ian Mahinmi",12,618,0.533,0.16,0.612,16.8,5.2,4.4,0.6,26.1,0.121,"-2",0.1,101133,0.578,0.717,0.972,984,0.628048780487805,"C",1.49133398124402
"400",30,"NYK","David Lee",12,829,0.535,0.034,0.772,29.3,13.5,8.8,2.2,76,0.15,"1.1",19.2,101135,0.754,0.397,1.754,984,0.842479674796748,"F",4.56175120235645
"401",31,"ATL","Salim Stoudamire",3,157,0.407,0.366,0.882,17,8,1.4,1,2.2,0.04,"-2.9",-0.6,101136,0.35,0.064,1.006,246,0.638211382113821,"G",3.39431866653391
"402",33,"NOH","Brandon Bass",12,758,0.499,0.207,0.832,21.6,8.7,4.5,0.8,42.8,0.125,"-0.8",5.1,101138,0.389,0.632,0.947,984,0.770325203252033,"F",2.68943483546708
"403",34,"UTA","C.J. Miles",16,849,0.411,0.358,0.809,20.4,9.6,2.4,1.1,30.1,0.084,"-0.4",6.9,NA,0.708,0.299,0.853,1312,0.647103658536585,"F",2.88334724030375
"404",36,"MIL","Ersan Ilyasova",13,825,0.443,0.367,0.777,23,10.1,5.6,1.1,48.8,0.124,"-0.1",9,101141,0.679,0.355,0.959,1066,0.773921200750469,"F",3.17597126910886
"405",37,"LAL","Ronny Turiaf",10,473,0.533,0,0.636,17,4.7,3.7,1.3,19.2,0.115,"0.3",4.7,101142,0.383,1.254,0.757,820,0.576829268292683,"C",1.67366656851319
"406",38,"ORL","Travis Diener",5,179,0.388,0.353,0.847,14.9,4.8,1.4,2.4,5.6,0.102,"-0.4",1.1,101143,0.425,0.05,0.553,410,0.436585365853659,"G",2.4997891695312
"407",39,"LAL","Von Wafer",6,200,0.42,0.325,0.751,12.4,5.3,1.2,0.7,3.3,0.064,"-1.8",0.1,101144,0.365,0.095,0.64,492,0.40650406504065,"G",2.31956225219711
"408",40,"GSW","Monta Ellis",12,833,0.451,0.314,0.772,34.8,17.8,3.5,4.6,41.9,0.069,"-0.3",12.4,101145,1.691,0.337,2.696,984,0.846544715447154,"G",8.08498226706931
"409",45,"PHI","Lou Williams",17,1123,0.419,0.351,0.842,24.1,13.9,2.2,3.4,65.7,0.116,"1.4",23.2,101150,0.848,0.171,1.688,1394,0.805595408895265,"G",6.16871542257593
"410",48,"SEA","Mickael Gelabale",3,145,0.47,0.316,0.815,16.2,4.6,2.3,0.8,3,0.062,"-2.1",0,101153,0.345,0.241,0.634,246,0.589430894308943,"F",1.52923813044703
"411",49,"WAS","Andray Blatche",9,564,0.467,0.237,0.725,22.1,10.1,5.4,1.4,19.2,0.074,"-0.8",3.8,101154,0.872,0.812,1.621,738,0.764227642276423,"C",2.58312930331715
"412",50,"BOS","Ryan Gomes",8,487,0.445,0.349,0.799,27.6,10.1,4.6,1.5,19.4,0.069,"-1.6",1.4,101155,0.721,0.16,1.129,656,0.742378048780488,"F",3.23951683931561
"413",53,"BOS","Orien Greene",4,131,0.387,0.212,0.642,11.9,2.5,1.5,1.2,-0.7,-0.022,"-4.6",-1,101158,0.748,0.115,1.099,328,0.399390243902439,"G",1.45382699233524
"414",56,"DET","Amir Johnson",14,870,0.57,0.332,0.673,21.1,7,5.4,1.2,55.3,0.145,"0.3",10.6,101161,0.602,0.964,1.071,1148,0.757839721254355,"C",2.12944562330572
"415",57,"PHO","Marcin Gortat",12,806,0.551,0.15,0.68,25.7,9.9,7.9,1.1,61.3,0.142,"0.4",12.7,101162,0.475,1.098,1.189,984,0.81910569105691,"C",2.81770932020165
"416",1,"TOR","Andrea Bargnani",10,550,0.439,0.354,0.824,28.7,14.3,4.6,1.2,18.9,0.057,"-1.6",1.5,200745,0.376,0.855,1.547,820,0.670731707317073,"C",3.09006449735036
"417",2,"CHI","LaMarcus Aldridge",16,1076,0.493,0.32,0.813,33.7,19.1,8.1,1.9,115.6,0.153,"1.7",33.4,200746,0.704,1.103,1.527,1312,0.820121951219512,"C",4.53344665134089
"418",3,"CHA","Adam Morrison",3,161,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,"-5",-2.4,200747,0.248,0.075,1.068,246,0.654471544715447,"F",2.42234688282783
"419",4,"POR","Tyrus Thomas",8,402,0.438,0.235,0.732,19.7,7.7,4.8,0.9,13,0.078,"-1.2",1.7,200748,0.816,1.306,1.311,656,0.61280487804878,"F",2.53561673450553
"420",5,"ATL","Shelden Williams",6,361,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,"-3",-1.5,200749,0.496,0.454,0.842,492,0.733739837398374,"C",1.32569021569158
"421",6,"MIN","Brandon Roy",6,326,0.459,0.348,0.8,35.5,18.8,4.3,4.7,37.4,0.155,"3.6",16.3,200750,1.028,0.233,1.825,492,0.66260162601626,"G",8.56691045762854
"422",7,"BOS","Randy Foye",11,752,0.401,0.366,0.852,25.6,10.3,2.2,2.8,23.5,0.058,"-1.2",3.8,200751,0.702,0.293,1.471,902,0.83370288248337,"G",4.75346908674175
"423",8,"HOU","Rudy Gay",17,1120,0.452,0.346,0.799,30.9,15.8,5.6,2,61,0.085,"0.6",22.4,200752,1.099,0.713,2.004,1394,0.803443328550933,"F",4.88926795116246
"424",9,"GSW","Patrick O'Bryant",4,90,0.494,0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,"-4.6",-0.3,200753,0.2,0.444,0.467,328,0.274390243902439,"C",0.592365853508037
"425",10,"SEA","Mouhamed Sene",3,47,0.427,0,0.589,5.5,2.2,1.6,0,0.3,0.052,"-5.1",-0.2,200754,0.085,0.468,0.319,246,0.191056910569106,"C",0.537098077071336
"426",11,"ORL","JJ Redick",15,940,0.447,0.415,0.892,25.5,12.8,2,2,63.7,0.128,"0.6",16,200755,0.447,0.094,1.106,1230,0.764227642276423,"G",5.44705674309645
