"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore"
"600",25,"MEM","Dominique Jones",3,80,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,"-2.4",-0.1,202346,0.362,0.125,0.95,246,0.32520325203252,"G",1.74806599554289
"601",26,"OKC","Quincy Pondexter",7,355,0.423,0.356,0.746,15.6,4.5,1.8,0.7,9.7,0.084,"-1.8",0.3,202347,0.344,0.138,0.501,574,0.618466898954704,"F",1.44059056400632
"602",27,"NJN","Jordan Crawford",6,281,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,"-1.3",1.3,202348,0.698,0.082,1.883,492,0.571138211382114,"G",5.51634584960813
"603",28,"MEM","Greivis Vasquez",7,401,0.418,0.349,0.817,23.7,9,2.5,4.8,12.6,0.064,"-1.2",1.8,202349,0.589,0.085,1.878,574,0.698606271777004,"G",4.67447555824815
"604",29,"ORL","Daniel Orton",3,51,0.485,0,0.597,10.6,2.8,2.5,0.5,1,0.093,"-3.5",-0.2,202350,0.353,0.549,0.569,246,0.207317073170732,"C",0.894419307214261
"605",30,"WAS","Lazar Hayward",3,72,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,"-4.2",-0.3,202351,0.236,0.111,0.389,246,0.292682926829268,"F",0.941358534353939
"606",32,"MIA","Dexter Pittman",4,50,0.45,0,0.545,6.9,2.3,1.8,0.2,0.5,0.068,"-7.7",-0.5,202354,0.16,0.16,0.44,328,0.152439024390244,"C",0.605813527512854
"607",33,"SAC","Hassan Whiteside",10,511,0.586,0.308,0.605,24.7,12.6,10.8,0.6,52,0.197,"2.5",14.5,202355,0.53,2.237,1.479,820,0.623170731707317,"C",3.44592209972781
"608",35,"WAS","Nemanja Bjelica",7,449,0.466,0.384,0.759,20.4,7.6,4.6,1.8,20,0.104,"0.3",5.4,202357,0.641,0.41,1.022,574,0.782229965156794,"F",2.77962843685625
"609",39,"NYK","Landry Fields",5,255,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,"-0.3",2.6,202361,0.831,0.176,1.059,410,0.621951219512195,"G",3.58866934851758
"610",40,"IND","Lance Stephenson",10,554,0.445,0.314,0.694,22.9,8.6,4.1,2.9,17.5,0.066,"-1.3",2.3,202362,0.644,0.137,1.639,820,0.675609756097561,"F",3.34547146469136
"611",43,"LAL","Devin Ebanks",3,63,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,"-4.8",-0.5,202365,0.286,0.19,0.556,246,0.25609756097561,"F",1.10050440585203
"612",55,"UTA","Jeremy Evans",7,250,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,"0.9",1.9,202379,0.36,0.484,0.34,574,0.435540069686411,"F",1.1725894544893
"613",56,"MIN","Hamady N'Diaye",3,33,0.467,0,0.462,4.8,0.6,0.8,0.1,0,0.013,"-7.3",-0.2,NA,0.061,0.273,0.182,246,0.134146341463415,"C",0.240166487024751
"614",1,"CLE","Kyrie Irving",14,779,0.474,0.394,0.888,34.5,23.7,4.1,5.6,91,0.163,"4.5",43.7,202681,1.312,0.433,2.493,1148,0.678571428571429,"G",10.5255234734095
"615",2,"MIN","Derrick Williams",7,428,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,"-1.6",0.8,202682,0.465,0.252,0.932,574,0.745644599303136,"F",2.62696407067625
"616",3,"UTA","Enes Freedom",11,748,0.548,0.289,0.777,21.5,11.2,7.8,0.9,52.8,0.157,"-0.1",7.6,NA,0.396,0.525,1.439,902,0.829268292682927,"C",2.84697912461034
"617",4,"CLE","Tristan Thompson",13,819,0.52,0.238,0.592,24.9,8.3,7.8,1,49.3,0.116,"-1.7",1.3,202684,0.462,0.642,1.06,1066,0.768292682926829,"C",2.4976943416761
"618",5,"TOR","Jonas Valanciunas",13,937,0.56,0.341,0.794,25.1,13.1,9.3,1.4,84.6,0.172,"1",17.7,202685,0.413,0.952,1.682,1066,0.878986866791745,"C",3.50834579195148
"619",6,"WAS","Jan Vesely",3,162,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,"-2.6",-0.4,202686,0.66,0.519,0.759,246,0.658536585365854,"F",1.29547556285659
"620",7,"SAC","Bismack Biyombo",14,867,0.537,0,0.551,19.5,5.1,5.9,0.7,33.1,0.094,"-2.6",-2.4,202687,0.272,1.27,0.918,1148,0.755226480836237,"C",1.74036636022154
"621",8,"DET","Brandon Knight",9,451,0.411,0.352,0.807,29.3,14,3.1,3.9,11.6,0.042,"-1.6",1.4,202688,0.856,0.166,2.417,738,0.611111111111111,"G",6.44032145925057
"622",9,"CHA","Kemba Walker",12,750,0.418,0.36,0.84,33.1,19.3,3.8,5.3,59.8,0.116,"2.8",29.8,202689,1.231,0.376,2.099,984,0.76219512195122,"G",8.80766176308057
"623",10,"MIL","Jimmer Fredette",6,241,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,"-2.5",-0.4,202690,0.39,0.046,0.925,492,0.489837398373984,"G",2.67384943758731
"624",11,"GSW","Klay Thompson",12,865,0.451,0.411,0.86,32.1,19.1,3.5,2.3,57.1,0.098,"0.5",17.3,202691,0.865,0.529,1.695,984,0.879065040650406,"G",8.11846337700696
"625",12,"UTA","Alec Burks",14,791,0.415,0.386,0.805,22.2,10.6,3.3,1.9,31.7,0.087,"-0.5",6.6,202692,0.673,0.201,1.142,1148,0.689024390243902,"G",4.86455241070616
"626",13,"PHO","Markieff Morris",14,791,0.443,0.341,0.779,23.3,10.2,4.9,1.5,27.3,0.071,"-1.5",2.3,202693,0.751,0.48,1.417,1148,0.689024390243902,"F",3.28969339487976
"627",14,"HOU","Marcus Morris",13,832,0.435,0.377,0.774,26.6,12,4.4,1.5,39.4,0.086,"-0.8",6.7,202694,0.655,0.286,1.132,1066,0.780487804878049,"G",5.49201000395487
"628",15,"IND","Kawhi Leonard",13,733,0.499,0.392,0.86,31.8,20.1,6.4,3.1,102.7,0.212,"6.5",49.9,202695,1.813,0.671,1.756,1066,0.687617260787992,"F",6.45176261423942
"629",16,"PHI","Nikola Vucevic",14,972,0.497,0.348,0.77,31.4,17.2,10.5,2.9,79.9,0.126,"2.1",31.6,202696,0.878,0.9,1.789,1148,0.846689895470383,"F",5.90869649611485
"630",17,"NYK","Iman Shumpert",10,461,0.391,0.337,0.764,24.9,7.2,3.3,1.8,12.9,0.054,"-1.7",0.9,202697,1.115,0.26,1.15,820,0.56219512195122,"G",3.63058448916937
"631",18,"WAS","Chris Singleton",3,148,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,"-3.2",-0.8,202698,0.791,0.385,0.676,246,0.601626016260163,"F",1.3840976685095
"632",19,"CHA","Tobias Harris",14,970,0.478,0.366,0.836,31.7,16.1,6.2,2.4,75.3,0.118,"1",22.9,202699,0.824,0.563,1.423,1148,0.844947735191638,"F",5.20157730908658
"633",20,"MIN","Donatas Motiejunas",6,251,0.469,0.3,0.597,18.2,7.3,3.8,1.1,7.1,0.075,"-2.5",-0.5,202700,0.47,0.327,1.143,492,0.510162601626016,"F",2.36268107277309
"634",22,"DEN","Kenneth Faried",8,478,0.546,0.222,0.654,24.5,11.4,8.1,1,38.8,0.159,"0.5",7.5,202702,0.734,0.82,1.31,656,0.728658536585366,"F",3.61738394596098
"635",23,"HOU","Nikola Mirotic",5,319,0.423,0.359,0.808,24.2,12.3,5.9,1.3,20.8,0.129,"1.6",7.1,202703,0.752,0.715,1.194,410,0.778048780487805,"F",3.84065575588922
"636",24,"OKC","Reggie Jackson",14,884,0.423,0.345,0.854,24.7,12.3,2.8,4.1,36.3,0.08,"-0.6",7.5,202704,0.671,0.124,1.768,1148,0.770034843205575,"G",5.80456286227319
"637",25,"BOS","MarShon Brooks",5,200,0.447,0.345,0.751,17.3,8,2.1,1.4,3.3,0.046,"-1.6",0.4,202705,0.6,0.21,1.24,410,0.48780487804878,"G",3.60903821298123
"638",26,"DAL","Jordan Hamilton",5,151,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,"-0.1",1,202706,0.483,0.225,0.675,410,0.368292682926829,"G",2.8471466159441
"639",28,"CHI","Norris Cole",6,360,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,"-4.1",-4.1,202708,0.778,0.094,1.436,492,0.731707317073171,"G",3.4729744521608
"640",29,"SAS","Cory Joseph",14,866,0.44,0.35,0.786,21.1,6.7,2.4,2.9,32.1,0.084,"-1.1",4,202709,0.723,0.211,0.982,1148,0.754355400696864,"G",3.48741871189065
"641",30,"CHI","Jimmy Butler",14,869,0.472,0.328,0.843,33.1,18.3,5.3,4.3,123.7,0.206,"5",50.5,202710,1.674,0.445,1.679,1148,0.756968641114983,"Unknown",NA
"642",31,"MIA","Bojan Bogdanovic",10,719,0.46,0.394,0.859,29.1,15.6,3.6,1.7,37.6,0.086,"-0.9",5.8,202711,0.554,0.076,1.676,820,0.876829268292683,"F",4.57478514276739
"643",32,"CLE","Justin Harper",3,22,0.34,0.276,0.333,6.8,2,0.8,0.2,-0.3,-0.093,"-8.7",-0.2,202712,0.136,0.136,0.545,246,0.0894308943089431,"F",0.565053713207834
"644",33,"DET","Kyle Singler",6,356,0.418,0.362,0.786,21.9,6.5,2.9,0.8,10,0.062,"-2.5",-0.9,202713,0.57,0.309,0.781,492,0.723577235772358,"F",2.02769894126769
"645",34,"WAS","Shelvin Mack",8,456,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,"-1.9",0.1,202714,0.658,0.053,1.228,656,0.695121951219512,"G",3.39464076489469
"646",38,"HOU","Chandler Parsons",9,440,0.462,0.373,0.713,30.1,12.7,4.5,2.7,28.9,0.105,"1.1",10.2,202718,0.936,0.345,1.493,738,0.596205962059621,"F",4.34505812835599
"647",39,"CHA","Jeremy Tyler",3,104,0.45,0,0.557,9.9,3.6,2.6,0.2,0.3,0.014,"-7",-1.3,202719,0.221,0.404,0.654,246,0.422764227642276,"F",1.08469111393893
"648",40,"MIL","Jon Leuer",8,377,0.484,0.328,0.767,15.8,6.4,3.8,0.8,13.2,0.107,"-0.7",2,202720,0.363,0.271,0.687,656,0.57469512195122,"F",2.05668223464927
"649",41,"LAL","Darius Morris",4,132,0.384,0.322,0.63,11.1,3.3,1,1.4,-0.3,-0.01,"-5.1",-1.2,202721,0.341,0.015,0.848,328,0.402439024390244,"G",1.67659414553465
"650",42,"IND","Davis Bertans",8,475,0.422,0.396,0.863,18,7.7,2.4,0.9,18.6,0.105,"0.2",4.7,202722,0.432,0.352,0.526,656,0.724085365853659,"F",2.3729447001542
"651",43,"CHI","Malcolm Lee",3,36,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,"-2.5",-0.1,202723,0.556,0.278,0.75,246,0.146341463414634,"G",2.06845450423792
"652",45,"NOH","Josh Harrellson",3,75,0.438,0.347,0.629,11.8,3.5,3,0.3,2.1,0.116,"-0.4",0.4,202725,0.4,0.48,0.44,246,0.304878048780488,"F",1.14067496643391
"653",46,"LAL","Andrew Goudelock",3,49,0.393,0.345,0.875,9.7,4,0.7,0.5,0,0.003,"-5",-0.3,202726,0.204,0.041,0.571,246,0.199186991869919,"G",1.71072823827445
"654",50,"PHI","Lavoy Allen",6,388,0.471,0.133,0.682,17.8,4.8,4.8,1,13.8,0.096,"-2.1",-0.1,202730,0.309,0.552,0.662,492,0.788617886178862,"F",1.83752313380578
"655",53,"ORL","DeAndre Liggins",5,177,0.402,0.352,0.549,10.8,2,1.4,0.7,1.6,0.04,"-2.2",-0.1,202732,0.61,0.175,0.486,410,0.431707317073171,"G",1.1729602806087
"656",55,"BOS","E'Twaun Moore",10,598,0.455,0.388,0.742,21,7.9,2,1.8,14.8,0.057,"-1.9",0.2,202734,0.661,0.219,0.893,820,0.729268292682927,"G",3.64633804819424
"657",60,"SAC","Isaiah Thomas",12,556,0.434,0.363,0.872,28,17.5,2.4,4.8,45.3,0.14,"2.1",16.1,202738,0.849,0.11,2.234,984,0.565040650406504,"G",7.7661563907348
"658",1,"NOH","Anthony Davis",13,787,0.522,0.296,0.794,34.5,24.1,10.7,2.6,118.8,0.21,"5.9",54.2,203076,1.341,2.348,2.051,1066,0.73827392120075,"F",7.66899718306511
"659",2,"CHA","Michael Kidd-Gilchrist",8,446,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21,0.092,"-1.8",0.6,203077,0.664,0.682,0.897,656,0.679878048780488,"F",2.83002207430711
"660",3,"WAS","Bradley Beal",13,801,0.464,0.376,0.821,34.4,21.5,4.1,4.3,58.6,0.102,"1.5",24,203078,1.105,0.423,2.431,1066,0.75140712945591,"G",9.46306952008494
"661",4,"CLE","Dion Waiters",8,419,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,"-2.1",-0.4,203079,0.933,0.27,1.816,656,0.638719512195122,"G",5.83866979364183
"662",5,"SAC","Thomas Robinson",5,313,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,"-3.5",-1.6,203080,0.514,0.355,1.019,410,0.763414634146341,"F",1.6430870627435
"663",6,"POR","Damian Lillard",13,900,0.439,0.371,0.899,36.2,25.1,4.3,6.7,118.4,0.174,"4.6",54.5,203081,0.971,0.297,2.823,1066,0.844277673545966,"G",11.2450317383419
"664",7,"GSW","Harrison Barnes",13,993,0.46,0.385,0.81,31.2,13.9,4.8,1.8,61.6,0.095,"-0.8",9.1,203084,0.71,0.186,1.177,1066,0.931519699812383,"F",4.31965493512299
"665",8,"TOR","Terrence Ross",11,733,0.418,0.362,0.837,24.5,11,2.8,1.3,25,0.067,"-1",4.5,203082,0.801,0.315,0.955,902,0.812638580931264,"G",4.83431442813427
"666",9,"DET","Andre Drummond",13,904,0.542,0.129,0.486,26.8,12.5,12.1,1.2,76.6,0.152,"1",18.5,203083,1.275,1.305,1.831,1066,0.848030018761726,"C",3.66187778248443
"667",10,"NOH","Austin Rivers",11,707,0.419,0.349,0.653,23.8,8.5,2,2.1,15.2,0.043,"-3.1",-4.5,203085,0.699,0.158,1.035,902,0.783813747228381,"G",3.91313714328323
"668",11,"POR","Meyers Leonard",10,456,0.482,0.39,0.812,15.9,5.6,3.9,0.9,15.8,0.104,"-1.5",1,203086,0.186,0.279,0.691,820,0.55609756097561,"F",1.90298026806753
"669",12,"HOU","Jeremy Lamb",10,573,0.439,0.342,0.857,20.8,10.1,3.6,1.6,26.8,0.108,"0.6",7.9,203087,0.728,0.38,0.813,820,0.698780487804878,"G",4.70098310907577
"670",13,"PHO","Kendall Marshall",4,160,0.399,0.37,0.611,19.3,5,1.6,4.9,1,0.015,"-3.5",-1.1,203088,0.669,0.062,1.781,328,0.48780487804878,"G",3.08209924146673
"671",14,"MIL","John Henson",8,445,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,"-0.5",3.4,203089,0.474,1.443,1.115,656,0.678353658536585,"F",2.66354819940135
"672",15,"PHI","Maurice Harkless",10,621,0.474,0.32,0.624,22.6,6.9,3.5,0.9,23,0.079,"-0.8",4.1,203090,0.939,0.643,0.839,820,0.757317073170732,"F",2.23415911350476
"673",17,"DAL","Tyler Zeller",8,414,0.508,0.286,0.764,17.5,6.9,4.4,0.9,17.1,0.113,"-2",0,203092,0.251,0.582,0.841,656,0.63109756097561,"F",2.27938431405733
"674",18,"HOU","Terrence Jones",6,234,0.501,0.297,0.621,23.8,10.4,5.7,1,14.7,0.127,"0.5",3.6,203093,0.624,1.154,0.936,492,0.475609756097561,"F",3.31966711607206
"675",19,"ORL","Andrew Nicholson",5,285,0.467,0.321,0.773,14.3,6,3,0.4,3.8,0.045,"-3.6",-1.6,203094,0.26,0.333,0.744,410,0.695121951219512,"F",1.75963749599039
"676",20,"DEN","Evan Fournier",12,704,0.441,0.374,0.799,27.7,13.6,2.7,2.5,30.5,0.075,"-1.1",4.3,203095,0.874,0.153,1.538,984,0.715447154471545,"G",5.97071530789187
"677",21,"BOS","Jared Sullinger",5,269,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,"-0.4",2.7,203096,0.669,0.599,1.234,410,0.65609756097561,"C",3.11948421071023
"678",23,"ATL","John Jenkins",6,171,0.441,0.367,0.847,12.8,5,1.5,0.8,3,0.065,"-1.9",0.1,203098,0.181,0.082,0.556,492,0.347560975609756,"G",2.27291417603715
"679",24,"CLE","Jared Cunningham",4,84,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,"-5.7",-0.6,203099,0.25,0.024,0.381,328,0.25609756097561,"G",1.08963208427783
"680",25,"MEM","Tony Wroten",4,145,0.413,0.231,0.647,21.2,11.1,2.5,3,-1.3,-0.021,"-3.4",-1.1,203100,0.945,0.193,2.586,328,0.442073170731707,"G",5.10360623782607
"681",26,"IND","Miles Plumlee",7,346,0.542,0,0.543,16.4,4.9,4.5,0.5,10.6,0.09,"-1.9",0.2,203101,0.442,0.74,0.89,574,0.602787456445993,"C",1.42873858624169
"682",28,"OKC","Perry Jones",3,143,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,"-3.5",-0.6,NA,0.252,0.231,0.42,246,0.58130081300813,"G",1.68262508920002
"683",29,"CHI","Marquis Teague",3,91,0.343,0.222,0.661,10,2.4,1,1.5,-0.9,-0.045,"-6.5",-1,203104,0.253,0.132,0.846,246,0.369918699186992,"G",1.3722339262492
"684",30,"GSW","Festus Ezeli",3,170,0.513,0,0.557,14.1,4.2,4.3,0.4,5.9,0.119,"-2",0,203105,0.282,0.976,0.782,246,0.691056910569106,"C",1.29615048230674
"685",31,"CHA","Jeff Taylor",3,132,0.409,0.319,0.665,19.4,6.1,2,0.8,1.3,0.024,"-4.2",-1.5,78299,0.318,0.121,0.515,246,0.536585365853659,"G",2.7670388530842
"686",32,"WAS","Tomas Satoransky",6,388,0.468,0.354,0.82,22.2,6.9,2.9,4.1,17.9,0.1,"-0.9",2.4,203107,0.796,0.155,1.322,492,0.788617886178862,"G",3.86816641712158
"687",33,"CLE","Bernard James",3,92,0.497,0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,"-1.8",0,203108,0.185,0.663,0.37,246,0.373983739837398,"C",0.669277126897361
"688",34,"CLE","Jae Crowder",13,812,0.418,0.347,0.777,24.8,9.3,4.2,1.6,43,0.102,"0.1",10.9,203109,0.972,0.331,0.83,1066,0.76172607879925,"F",3.10881476264409
"689",35,"GSW","Draymond Green",13,881,0.449,0.32,0.71,28.7,8.7,6.9,5.6,64.6,0.123,"2.3",27.6,203110,1.384,1.041,2.43,1066,0.826454033771107,"F",4.62053040137487
"690",36,"SAC","Orlando Johnson",3,103,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,"-2.4",-0.1,203111,0.194,0.136,0.466,246,0.41869918699187,"G",1.63681374048558
"691",37,"TOR","Quincy Acy",7,337,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,"-2",-0.1,203112,0.415,0.401,0.65,574,0.587108013937282,"F",1.60585948223726
"692",38,"DEN","Quincy Miller",3,69,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,"-3.9",-0.5,203113,0.435,0.536,0.783,246,0.280487804878049,"F",1.35906668040007
"693",39,"DET","Khris Middleton",13,776,0.46,0.387,0.878,30.7,16.6,4.8,4,57.9,0.117,"0.8",16.6,203114,1.197,0.206,2.153,1066,0.727954971857411,"F",5.76279002190136
"694",40,"POR","Will Barton",11,679,0.43,0.355,0.787,25.2,11.2,4.1,2.7,26.5,0.074,"-0.4",6.9,203115,0.742,0.401,1.396,902,0.752771618625277,"G",5.39352268041038
"695",43,"ATL","Mike Scott",9,555,0.453,0.362,0.757,16.5,6.7,3.1,0.9,16.8,0.088,"-1.7",0.6,203118,0.33,0.133,0.643,738,0.752032520325203,"F",2.12499106056978
"696",45,"PHI","Justin Hamilton",3,113,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,"-0.9",0.5,203120,0.54,0.646,0.646,246,0.459349593495935,"C",1.65578412992854
"697",46,"NOH","Darius Miller",6,271,0.419,0.383,0.84,19.8,5.9,1.6,1.4,6.5,0.059,"-2.3",-0.4,203121,0.454,0.244,0.631,492,0.550813008130081,"F",2.05436965605335
"698",49,"ORL","Kyle O'Quinn",8,472,0.517,0.218,0.74,14.2,5.4,4.6,1.4,17.8,0.128,"0.9",5,203124,0.4,0.96,0.97,656,0.719512195121951,"C",1.87023089147403
"699",60,"LAL","Robert Sacre",4,189,0.436,0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,"-4",-1.4,203135,0.296,0.582,0.54,328,0.576219512195122,"C",1.26635806722973
"700",1,"CLE","Anthony Bennett",4,151,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,"-4.8",-1.3,203461,0.384,0.179,0.656,328,0.460365853658537,"F",1.39395818355458
"701",2,"ORL","Victor Oladipo",10,504,0.436,0.347,0.788,32.2,16.9,4.5,3.9,25.6,0.076,"0.7",11,203506,1.597,0.456,2.512,820,0.614634146341463,"G",7.80147859711722
"702",3,"WAS","Otto Porter Jr.",11,527,0.477,0.397,0.797,25.4,10.3,4.9,1.5,36.7,0.132,"1.7",12.5,203490,1.112,0.419,0.757,902,0.584257206208426,"F",3.36763686722903
"703",4,"CHA","Cody Zeller",11,552,0.52,0.22,0.727,20.9,7.9,5.7,1.3,33.5,0.14,"-0.7",3.9,203469,0.601,0.598,1,902,0.611973392461197,"F",2.73975327265022
"704",5,"PHO","Alex Len",12,690,0.51,0.322,0.678,17,6.7,5.3,0.9,23.9,0.097,"-1.9",0.3,203458,0.359,0.891,1.07,984,0.701219512195122,"C",1.94674308809673
"705",6,"NOH","Nerlens Noel",9,467,0.546,0.2,0.655,22,7.1,6.1,1.1,28.3,0.132,"0.9",7.4,203457,1.259,1.463,1.27,738,0.632791327913279,"C",2.1941607603481
"706",7,"SAC","Ben McLemore",9,556,0.414,0.363,0.78,22.5,9,2.3,1,9,0.035,"-3.1",-3.4,203463,0.635,0.191,1.094,738,0.753387533875339,"G",3.93777793989213
"707",8,"DET","Kentavious Caldwell-Pope",12,912,0.428,0.367,0.822,29.6,11.2,3,1.8,48.5,0.086,"-0.9",7.4,203484,1.201,0.299,1.072,984,0.926829268292683,"G",5.05496983152559
"708",9,"MIN","Trey Burke",9,498,0.41,0.345,0.81,20.9,9.6,1.8,3.1,12.9,0.06,"-1.3",1.7,203504,0.55,0.104,1.114,738,0.67479674796748,"G",4.45826288370991
"709",10,"POR","CJ McCollum",12,787,0.453,0.397,0.799,32.1,19.6,3.6,3.8,52,0.099,"1.2",20.5,203468,0.936,0.433,1.91,984,0.79979674796748,"G",8.59141330681811
"710",11,"PHI","Michael Carter-Williams",9,395,0.402,0.256,0.705,25.2,10.2,4.3,4.3,6.6,0.032,"-1.2",1.8,203487,1.261,0.544,2.319,738,0.535230352303523,"G",5.39163759207395
"711",12,"OKC","Steven Adams",11,764,0.586,0.059,0.533,25.8,8.8,8,1.5,61.6,0.15,"0.5",12.5,203500,0.874,0.946,1.463,902,0.847006651884701,"C",2.75367534331287
"712",13,"DAL","Kelly Olynyk",12,800,0.486,0.371,0.796,22.5,10.2,5.2,2.5,46.2,0.123,"0.9",12.9,203482,0.806,0.464,1.628,984,0.813008130081301,"F",3.68134686362882
"713",14,"UTA","Shabazz Muhammad",5,278,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,"-2",0,203498,0.291,0.086,0.658,410,0.678048780487805,"G",3.89594483005532
"714",15,"MIL","Giannis Antetokounmpo",12,859,0.551,0.284,0.693,32.9,23.9,9.9,5,120.8,0.205,"6.7",62.4,203507,1.15,1.264,3.127,984,0.872967479674797,"F",8.29516976347912
"715",16,"BOS","Lucas Nogueira",4,141,0.632,0.265,0.64,12.4,3.2,2.8,0.5,6,0.165,"2.3",1.9,203512,0.631,1.021,0.532,328,0.429878048780488,"C",1.05925787038221
"716",17,"ATL","Dennis Schroder",12,842,0.432,0.342,0.836,27.3,13.9,2.9,4.9,32.7,0.068,"-1.5",3,203471,0.862,0.151,2.334,984,0.855691056910569,"F",5.33114907337576
"717",18,"ATL","Shane Larkin",4,256,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044,"-2.4",-0.6,203499,0.949,0.094,1.176,328,0.780487804878049,"G",2.96125238448817
"718",19,"CLE","Sergey Karasev",3,95,0.395,0.282,0.842,11.7,3,1.5,0.9,0.8,0.036,"-3.4",-0.4,203508,0.337,0.042,0.6,246,0.386178861788618,"G",1.56235688285753
"719",20,"CHI","Tony Snell",9,601,0.431,0.394,0.846,21.8,6.1,2.3,1.1,18.5,0.068,"-2",-0.1,203503,0.443,0.23,0.547,738,0.814363143631436,"G",2.90509502836877
"720",21,"UTA","Gorgui Dieng",10,628,0.496,0.355,0.791,20.1,7.3,5.6,1.3,30.7,0.117,"0.2",7.1,203476,0.745,0.874,1.094,820,0.765853658536585,"C",2.21965203334025
"721",22,"BRK","Mason Plumlee",12,860,0.595,0.039,0.577,21.9,8,6.7,2.4,57.8,0.148,"1.2",15.1,203486,0.7,0.817,1.403,984,0.873983739837398,"F",3.25153917194006
"722",23,"IND","Solomon Hill",9,448,0.388,0.331,0.797,21.5,5.5,3.1,1.5,11.9,0.059,"-2.1",-0.3,203524,0.685,0.221,0.842,738,0.607046070460705,"F",2.04834150499111
"723",24,"NYK","Tim Hardaway Jr.",12,813,0.417,0.361,0.815,27.4,13.7,2.9,1.8,33.8,0.073,"-1.2",4.5,203501,0.641,0.143,1.011,984,0.826219512195122,"G",5.90146858350323
"724",25,"LAC","Reggie Bullock",11,556,0.424,0.385,0.827,22.6,7.3,2.6,1.2,21.4,0.082,"-1.2",2.6,203493,0.572,0.146,0.541,902,0.616407982261641,"Unknown",NA
"725",26,"MIN","Andre Roberson",7,307,0.473,0.253,0.468,22.2,4.5,4,0.9,12.6,0.089,"-0.6",2.3,203460,0.873,0.648,0.603,574,0.534843205574913,"G",2.61962822278692
"726",27,"DEN","Rudy Gobert",12,829,0.656,0,0.641,30.7,12.6,11.7,1.4,116.1,0.219,"3.3",34,203497,0.738,2.171,1.689,984,0.842479674796748,"C",3.80846676801015
"727",29,"OKC","Archie Goodwin",4,165,0.429,0.236,0.7,14.5,6.3,2,1.2,1.1,0.022,"-3",-0.6,203462,0.418,0.23,1.248,328,0.503048780487805,"G",2.92089953034272
"728",31,"CLE","Allen Crabbe",7,381,0.425,0.387,0.831,24,9.1,2.8,1.1,13.7,0.072,"-1.6",0.9,203459,0.585,0.273,0.748,574,0.663763066202091,"G",4.08927675407093
"729",32,"OKC","Alex Abrines",3,174,0.387,0.368,0.88,16,5.3,1.4,0.5,5,0.086,"-1.9",0.1,203518,0.529,0.126,0.414,246,0.707317073170732,"G",2.33934387174486
"730",34,"HOU","Isaiah Canaan",6,235,0.371,0.351,0.836,20.4,8.1,1.9,1.9,4.3,0.043,"-2.4",-0.5,203477,0.617,0.098,1.102,492,0.477642276422764,"G",3.70008281090484
"731",36,"SAC","Ray McCallum",3,154,0.408,0.335,0.711,18.2,6,2,2.4,2.1,0.035,"-2.6",-0.4,203492,0.513,0.175,0.961,246,0.626016260162602,"G",3.05129140471454
"732",38,"WAS","Nate Wolters",3,84,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,"-2.6",-0.2,203489,0.512,0.202,0.833,246,0.341463414634146,"G",2.91619086503541
"733",39,"POR","Jeff Withey",5,207,0.525,0.143,0.716,10,3.2,2.5,0.3,6.8,0.157,"0.5",1.3,203481,0.271,0.754,0.367,410,0.504878048780488,"C",0.940534537338207
